ID,WRKSTAT,MARITAL,SPWRKSTA,SIBS,CHILDS,AGE,SEX,INCOM16,POLVIEWS,CAPPUN,COURTS,GRASS,RELITEN,POSTLIFE,PRAY,HAPPY,HAPMAR,HEALTH1,LIFE,HELPFUL,FAIR,TRUST,CONBUS,CONCLERG,CONEDUC,CONPRESS,CONMEDIC,SOCREL,SOCFREND,SOCBAR,AGED,CHLDIDEL,PILLOK,SEXEDUC,DIVLAW,PREMARSX,XMARSEX,OWNGUN,NEWS,TVHOURS,NEWSFROM,SCIFROM,ASTROLGY,SCIBNFTS,COLDEG1,USWAR,USWARY
1914,1,5,NA,2,0,23,1,3,1,1,3,NA,2,1,3,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,2,1,1,3,4,1,3,2,3,NA,NA,NA,NA,NA,NA,1
1915,2,3,NA,7,4,57,2,1,4,1,1,2,2,2,2,2,NA,4,NA,2,1,2,2,3,3,2,2,4,6,7,1,2,3,1,1,4,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
1916,7,5,NA,10,5,39,2,2,4,2,1,2,2,1,2,2,NA,NA,2,2,2,2,2,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,1,8,1,2,NA,NA,NA
1917,4,5,NA,30,0,21,2,3,2,1,2,NA,4,1,2,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,NA,3,2,1,1,3,1,2,3,3,NA,NA,NA,NA,NA,NA,NA
1918,5,2,NA,10,7,67,2,NA,NA,NA,NA,2,NA,NA,6,3,NA,4,NA,1,2,NA,NA,NA,NA,NA,NA,7,7,7,1,2,NA,NA,NA,NA,NA,NA,5,4,5,5,2,NA,NA,NA,NA
1919,2,3,NA,1,2,66,2,3,4,1,3,NA,1,1,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,NA,4,3,1,2,1,1,2,3,4,NA,NA,NA,NA,NA,NA,1
1920,2,5,NA,1,0,23,2,3,6,NA,2,1,2,1,2,2,NA,3,NA,2,1,2,3,NA,1,3,2,2,3,6,1,2,2,1,2,3,NA,NA,2,3,NA,NA,NA,NA,NA,2,NA
1921,1,3,NA,4,3,41,2,3,1,1,2,2,1,1,1,3,NA,NA,2,2,1,2,2,1,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,1,NA,NA,NA
1922,1,1,1,1,2,48,2,3,6,1,2,NA,1,2,1,3,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,5,7,NA,2,2,1,1,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,1
1923,1,1,1,1,2,41,2,3,4,1,NA,NA,3,NA,2,NA,1,3,NA,NA,NA,2,2,2,2,2,2,2,4,7,3,NA,1,1,2,NA,NA,NA,1,2,3,3,2,NA,2,2,NA
1924,4,1,5,3,1,61,1,2,4,1,2,2,1,1,2,3,1,NA,1,1,2,1,2,2,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,5,5,1,1,NA,NA,NA
1925,1,1,1,3,4,56,2,3,4,1,2,NA,1,1,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,NA,2,2,1,1,3,1,3,3,4,NA,NA,NA,NA,NA,NA,1
1926,7,5,NA,6,1,34,2,3,5,2,2,2,1,1,2,2,NA,4,NA,2,1,2,2,2,2,3,2,3,5,7,2,2,4,1,3,2,NA,NA,4,18,NA,NA,NA,NA,NA,NA,NA
1927,1,3,NA,8,2,56,1,2,2,1,2,NA,2,2,2,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,7,7,NA,2,2,1,1,4,1,1,2,2,NA,NA,NA,NA,NA,NA,1
1928,1,1,1,3,2,47,1,3,6,1,2,2,2,1,1,1,1,3,NA,2,2,2,1,1,2,3,1,2,5,5,3,3,3,1,3,4,NA,NA,2,4,NA,NA,NA,NA,NA,1,NA
1929,2,2,NA,9,2,44,2,2,6,1,2,NA,2,1,1,2,NA,3,NA,2,2,2,2,2,1,2,2,3,3,6,2,2,3,1,1,4,NA,NA,5,2,3,9,1,1,NA,2,NA
1930,4,5,NA,4,0,30,1,2,3,NA,1,1,4,NA,2,2,NA,NA,1,2,1,1,2,3,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,NA,NA,3,3,2,2,NA,NA,NA
1931,5,1,5,4,4,73,1,3,4,1,2,2,2,1,2,2,2,4,NA,2,1,2,3,1,1,3,2,3,2,7,2,4,3,1,2,1,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA
1932,7,2,NA,5,6,81,2,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,6,NA,2,NA,NA,NA,NA
1933,5,2,NA,7,2,70,2,3,6,1,3,NA,4,2,6,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,NA,2,4,1,2,4,1,1,1,4,NA,NA,NA,NA,NA,NA,2
1934,1,5,NA,2,0,33,1,3,NA,1,2,2,4,NA,NA,2,NA,3,NA,2,2,2,2,2,2,3,2,3,5,4,2,2,2,1,3,4,NA,NA,2,2,3,3,1,1,NA,1,NA
1935,2,5,NA,1,0,21,2,4,4,1,2,2,2,1,3,1,NA,NA,2,2,1,2,1,2,2,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,1,3,1,1,1,NA,NA
1936,1,1,1,1,2,39,1,2,4,1,2,NA,1,1,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,NA,2,1,1,1,4,1,1,5,2,NA,NA,NA,NA,NA,NA,1
1937,5,3,NA,1,4,65,1,2,2,2,NA,2,4,2,6,2,NA,3,NA,1,2,2,2,3,2,2,2,5,4,3,2,2,3,1,1,4,NA,NA,4,4,NA,NA,NA,NA,NA,1,NA
1938,1,1,1,1,0,34,1,3,6,1,2,2,3,1,5,1,1,NA,1,2,1,2,2,2,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,3,3,1,1,2,NA,NA
