ID,WRKSTAT,MARITAL,SPWRKSTA,SIBS,CHILDS,AGE,SEX,INCOM16,POLVIEWS,CAPPUN,COURTS,GRASS,RELITEN,POSTLIFE,PRAY,HAPPY,HAPMAR,HEALTH1,LIFE,HELPFUL,FAIR,TRUST,CONBUS,CONCLERG,CONEDUC,CONPRESS,CONMEDIC,SOCREL,SOCFREND,SOCBAR,AGED,CHLDIDEL,PILLOK,SEXEDUC,DIVLAW,PREMARSX,XMARSEX,OWNGUN,NEWS,TVHOURS,NEWSFROM,SCIFROM,ASTROLGY,SCIBNFTS,COLDEG1,USWAR,USWARY
1,2,5,NA,1,0,22,1,4,4,NA,NA,NA,2,1,4,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,NA,2,2,1,2,4,1,2,3,1,NA,NA,NA,NA,NA,NA,2
2,2,5,NA,2,0,21,1,4,5,1,2,1,2,1,6,1,NA,NA,1,2,1,2,1,1,2,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,9,1,1,NA,NA,NA
3,1,1,7,1,2,42,1,2,5,NA,NA,1,1,1,1,2,1,NA,1,1,1,1,2,2,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,5,5,1,1,NA,NA,NA
4,8,1,1,2,2,49,2,5,5,1,NA,1,2,1,6,1,1,1,NA,1,2,1,1,1,2,2,1,5,6,7,1,8,2,1,3,4,NA,NA,2,4,5,5,2,1,NA,2,NA
5,5,4,NA,0,3,70,2,2,2,2,2,2,3,NA,1,1,NA,3,NA,3,1,2,3,2,1,3,2,2,5,7,3,2,2,1,1,4,NA,NA,2,3,5,5,2,1,2,1,NA
6,8,2,NA,4,2,50,2,NA,4,2,2,NA,2,1,1,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,NA,2,1,1,1,4,3,2,1,4,NA,NA,NA,NA,NA,NA,1
7,7,1,1,2,2,35,2,3,4,1,2,1,3,1,4,2,2,1,NA,3,3,2,3,2,3,2,2,7,1,7,3,8,2,1,2,4,NA,NA,5,3,NA,NA,NA,NA,NA,1,NA
8,7,4,NA,2,3,24,2,3,4,2,1,2,2,2,5,2,NA,NA,2,3,3,2,2,2,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,1,NA,NA,NA,NA
9,7,1,2,2,2,28,2,3,6,NA,1,NA,4,2,6,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,NA,3,2,1,1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,2
10,1,5,NA,0,0,28,2,1,2,2,3,1,4,NA,2,2,NA,NA,1,3,3,3,3,2,2,2,2,NA,NA,NA,3,NA,NA,NA,NA,NA,2,2,NA,NA,3,3,1,2,2,NA,NA
11,8,3,NA,4,6,55,1,4,1,1,NA,NA,1,1,2,1,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,NA,1,2,NA,NA,NA,3,2,1,6,NA,NA,NA,NA,NA,NA,1
12,2,5,NA,2,3,36,2,2,2,2,NA,1,2,1,2,2,NA,3,NA,1,1,2,3,3,3,3,2,4,4,6,1,2,2,1,1,4,NA,NA,5,2,NA,NA,NA,NA,NA,1,NA
13,7,5,NA,6,4,28,2,3,4,2,2,1,4,1,6,3,NA,NA,2,NA,1,2,1,3,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,1,NA,NA,NA,NA
14,8,3,NA,7,6,59,2,1,NA,NA,2,NA,1,1,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,NA,8,NA,1,2,1,1,2,4,2,NA,NA,NA,NA,NA,NA,1
15,2,5,NA,6,4,52,1,1,7,2,2,2,2,1,1,3,NA,1,NA,2,1,2,1,1,1,2,1,6,6,5,2,4,2,1,1,4,NA,NA,3,2,5,5,2,1,NA,2,NA
16,1,5,NA,2,4,35,2,3,3,2,2,2,2,1,1,2,NA,NA,2,2,1,2,2,1,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,3,9,1,1,NA,NA,NA
17,1,1,7,5,3,36,1,3,4,1,NA,2,3,1,4,2,1,2,NA,2,2,2,2,2,2,NA,1,2,2,7,NA,2,NA,1,2,1,NA,NA,1,2,6,5,2,NA,NA,NA,NA
18,1,3,NA,2,5,47,2,4,6,2,2,1,1,1,2,2,NA,2,NA,2,2,2,2,2,2,2,2,1,3,7,1,2,3,1,1,4,NA,NA,3,3,NA,NA,NA,NA,NA,1,NA
19,1,1,7,9,6,55,1,2,4,2,2,1,2,2,4,2,1,NA,2,1,2,2,3,2,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,6,6,2,NA,NA,NA,NA
20,6,5,NA,3,0,18,2,2,4,1,2,NA,2,1,6,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,NA,3,3,1,1,4,1,2,4,5,NA,NA,NA,NA,NA,NA,1
21,4,4,NA,10,8,76,2,3,7,2,3,2,1,1,1,3,NA,NA,1,1,3,2,1,3,3,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,1,NA,NA,NA
22,1,5,NA,6,1,39,1,2,7,NA,1,2,1,1,2,2,NA,NA,1,2,1,2,2,2,1,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,3,1,1,NA,NA,NA
23,1,1,1,1,2,54,1,3,6,1,2,1,1,2,1,2,1,1,NA,1,2,2,2,3,2,3,2,3,5,3,1,2,4,1,3,4,NA,NA,3,3,5,2,2,3,1,1,NA
24,1,1,1,3,2,45,2,2,2,1,2,2,4,1,2,1,1,2,NA,1,1,2,2,2,2,2,2,1,4,2,1,2,1,1,1,3,NA,NA,4,0,NA,NA,NA,NA,NA,1,NA
25,5,1,2,1,2,71,1,2,5,1,2,2,1,1,2,1,1,2,NA,1,2,2,2,2,2,3,2,3,5,7,2,2,4,2,2,1,NA,NA,1,2,5,5,2,1,NA,1,NA
26,1,1,1,0,2,42,2,4,4,1,3,2,1,2,2,2,2,NA,1,1,2,3,2,2,1,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,1,1,2,NA,NA
27,1,5,NA,2,0,22,1,4,4,1,2,NA,3,1,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,NA,3,2,1,3,4,1,2,2,2,NA,NA,NA,NA,NA,NA,2
28,7,1,1,6,2,50,1,1,4,1,1,NA,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,7,NA,4,1,2,1,4,1,2,5,8,NA,NA,NA,NA,NA,NA,2
29,5,2,NA,2,3,81,2,2,4,1,NA,1,2,NA,2,3,NA,3,NA,1,2,2,2,2,3,2,1,5,5,7,3,8,4,1,1,NA,NA,NA,2,4,NA,NA,NA,NA,NA,1,NA
30,2,4,NA,3,2,44,2,3,6,NA,2,NA,1,1,1,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,NA,8,3,NA,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,2
31,5,5,NA,2,0,78,1,4,4,1,2,2,NA,NA,NA,2,NA,NA,1,1,2,1,1,1,1,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,4,2,1,1,2,NA,NA
32,1,3,NA,5,2,63,2,3,2,2,NA,1,1,1,2,1,NA,3,NA,1,1,1,3,3,2,3,1,3,2,5,2,NA,4,1,1,4,NA,NA,1,4,NA,NA,NA,NA,NA,2,NA
33,5,1,5,0,0,73,1,1,2,2,3,NA,4,2,6,1,1,1,NA,1,2,1,3,3,3,3,1,5,7,7,3,1,1,1,3,4,NA,NA,1,1,1,5,2,1,3,2,NA
34,1,1,7,4,1,40,1,2,3,2,NA,2,2,1,3,2,1,NA,1,1,2,1,1,2,1,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,3,3,1,1,2,NA,NA
35,1,1,1,1,0,42,2,2,5,1,3,2,3,1,1,2,2,3,NA,3,2,1,2,2,3,2,2,5,2,5,2,2,3,1,NA,4,NA,NA,3,3,NA,NA,NA,NA,NA,1,NA
36,1,3,NA,1,2,62,1,3,2,1,3,1,1,1,1,2,NA,NA,1,1,2,1,2,2,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,3,4,2,1,3,NA,NA
37,1,3,NA,5,0,52,1,3,NA,1,3,NA,2,NA,6,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,NA,NA,NA,1,NA,4,1,2,5,5,NA,NA,NA,NA,NA,NA,NA
38,1,5,NA,2,0,49,2,3,4,1,3,2,2,2,1,1,NA,2,NA,1,3,3,1,1,1,2,1,4,2,3,2,3,1,1,3,4,NA,NA,2,16,5,5,1,2,NA,2,NA
39,2,5,NA,2,0,27,2,3,2,2,1,NA,4,1,6,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,NA,3,1,1,1,4,3,2,1,1,NA,NA,NA,NA,NA,NA,2
40,1,5,NA,2,2,30,2,3,4,NA,NA,1,3,1,2,2,NA,4,NA,2,1,2,3,2,3,2,3,1,4,5,3,2,2,1,2,1,NA,NA,5,2,3,3,1,1,NA,2,NA
41,1,1,1,1,0,29,2,3,2,2,3,2,1,1,2,1,1,NA,2,1,1,2,3,3,3,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,3,3,2,1,3,NA,NA
42,5,3,NA,2,2,69,2,2,3,2,2,2,4,2,6,3,NA,2,NA,2,2,1,2,3,2,2,2,3,3,5,2,2,3,1,3,4,NA,NA,1,2,1,1,1,1,NA,1,NA
43,1,3,NA,1,0,51,2,3,5,1,2,2,2,2,5,2,NA,2,NA,1,2,1,2,2,2,2,2,3,4,4,1,2,2,1,1,4,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA
44,1,3,NA,2,3,57,2,2,5,2,NA,2,1,1,1,1,NA,NA,1,1,2,1,1,1,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,2,1,2,NA,NA
45,1,1,7,2,2,44,1,4,5,1,2,1,2,1,5,1,1,NA,1,1,2,3,2,2,3,3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,2,1,2,NA,NA
46,7,1,2,1,3,73,2,4,3,1,2,1,2,2,5,1,1,3,NA,1,2,1,2,2,3,3,1,4,2,7,2,3,1,1,2,3,NA,NA,1,2,1,1,2,1,2,1,NA
47,7,1,2,0,3,73,2,3,4,1,2,1,2,2,NA,2,1,NA,1,1,2,1,2,3,3,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,3,2,NA,NA,5,3,1,1,2,NA,NA
48,1,1,8,2,2,68,1,5,4,1,2,1,2,2,6,1,1,1,NA,NA,2,1,2,2,2,2,2,5,5,7,2,2,3,1,3,4,NA,NA,1,4,5,1,2,1,3,2,NA
49,5,3,NA,1,4,84,2,3,2,NA,3,1,1,1,2,2,NA,3,NA,1,2,1,2,2,2,2,2,4,6,6,NA,3,2,1,NA,4,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA
50,5,3,NA,2,1,63,1,2,4,1,2,1,4,2,6,1,NA,NA,1,2,1,2,1,3,3,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,2,1,3,NA,NA
51,1,3,NA,4,2,57,1,3,4,2,2,1,1,1,2,2,NA,NA,2,3,1,1,2,2,2,3,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,1,2,2,NA,NA
52,1,1,1,3,2,42,2,2,5,2,2,2,2,1,3,2,2,2,NA,2,2,1,2,2,2,2,1,1,6,7,1,3,2,1,1,3,NA,NA,4,1,NA,NA,NA,NA,NA,2,NA
53,7,1,1,0,2,45,2,2,4,2,3,NA,4,2,6,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,NA,0,2,1,3,4,2,2,2,1,NA,NA,NA,NA,NA,NA,2
54,1,5,NA,10,1,38,1,2,2,1,3,1,4,1,3,1,NA,2,NA,3,2,1,3,3,2,2,2,5,4,5,1,8,3,1,2,4,NA,NA,2,2,5,3,1,1,1,2,NA
55,1,1,7,2,2,46,1,4,3,1,3,1,2,2,5,1,1,NA,1,1,2,2,2,2,2,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,6,3,1,1,6,NA,NA
56,6,1,1,2,3,51,2,NA,4,2,1,NA,NA,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,NA,3,1,1,1,3,3,2,5,0,NA,NA,NA,NA,NA,NA,2
57,1,1,1,3,1,41,2,1,4,1,2,1,3,1,1,2,1,NA,1,2,1,2,2,3,1,3,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,2,1,1,NA,NA,NA
58,5,3,NA,2,3,75,2,2,3,1,2,NA,2,2,4,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,5,4,7,NA,4,1,1,3,4,1,2,5,24,NA,NA,NA,NA,NA,NA,1
59,5,5,NA,5,5,81,2,2,5,2,1,1,1,1,3,2,NA,NA,1,1,2,2,2,2,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,2,1,1,NA,NA,NA
60,2,1,1,7,6,41,2,3,6,2,NA,2,1,2,3,1,3,2,NA,1,2,2,3,1,2,3,1,7,6,7,1,3,1,2,2,1,NA,NA,4,0,5,5,2,NA,NA,2,NA
61,5,2,NA,4,2,67,2,2,4,1,3,NA,3,1,2,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5,6,7,NA,2,NA,1,3,4,1,2,1,5,NA,NA,NA,NA,NA,NA,1
62,5,2,NA,15,2,71,1,1,4,1,2,2,1,1,1,2,NA,3,NA,2,1,2,3,2,2,2,2,2,5,7,1,2,4,1,1,1,NA,NA,3,7,NA,NA,NA,NA,NA,1,NA
63,1,1,7,4,2,35,1,1,4,2,2,2,1,1,1,2,1,NA,2,2,1,1,2,2,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,1,1,2,NA,NA,NA,NA
64,1,5,NA,3,1,45,2,3,4,2,3,NA,2,2,1,3,NA,NA,2,3,1,2,2,2,2,3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,2,2,NA,NA,1,2,1,2,2,NA,NA
65,7,1,1,6,2,35,1,2,6,2,2,NA,1,1,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,6,7,NA,2,3,1,1,4,1,2,4,5,NA,NA,NA,NA,NA,NA,2
66,6,5,NA,1,0,21,2,4,6,1,2,1,1,NA,2,3,NA,NA,1,2,1,3,3,3,3,3,2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,1,3,NA,NA,NA
67,1,3,NA,7,2,52,2,3,5,2,2,2,2,1,2,2,NA,4,NA,2,1,2,2,2,2,2,3,4,7,7,1,2,2,1,1,4,NA,NA,2,7,5,5,1,1,NA,1,NA
68,1,5,NA,1,1,49,2,2,3,2,3,NA,2,1,2,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,NA,3,1,1,2,4,3,2,4,3,NA,NA,NA,NA,NA,NA,2
69,1,5,NA,2,0,46,1,3,1,2,1,1,4,2,6,3,NA,2,NA,1,2,1,2,3,2,2,1,2,3,4,NA,2,1,1,1,4,NA,NA,1,0,NA,NA,NA,NA,NA,1,NA
70,1,2,NA,0,2,51,2,1,1,1,2,1,3,1,2,2,NA,NA,1,1,1,1,2,3,3,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,1,3,NA,NA,NA
71,1,5,NA,1,0,28,1,1,3,1,2,NA,4,2,6,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,2,1,2,4,3,2,1,3,NA,NA,NA,NA,NA,NA,2
72,5,2,NA,0,3,81,2,NA,2,NA,2,NA,1,1,1,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,NA,3,4,1,NA,1,1,2,1,1,NA,NA,NA,NA,NA,NA,2
73,1,1,7,3,3,47,1,3,2,1,1,2,1,1,1,2,2,NA,2,2,1,2,3,2,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,3,2,1,2,NA,NA
74,1,1,2,3,2,48,1,2,2,1,2,NA,1,1,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5,7,NA,3,4,2,1,2,1,2,2,0,NA,NA,NA,NA,NA,NA,2
75,1,1,1,3,2,46,1,2,4,1,2,1,4,1,2,2,2,3,NA,1,2,1,2,3,3,2,2,3,5,5,1,2,3,1,3,4,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA
76,5,1,1,3,3,68,1,3,5,1,2,2,3,1,5,3,1,4,NA,2,1,2,3,2,2,2,1,5,4,5,3,4,2,1,2,3,NA,NA,1,6,1,5,1,1,NA,1,NA
77,1,1,1,5,2,56,2,3,3,2,1,2,2,1,1,2,2,NA,1,1,2,1,2,2,2,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,3,3,1,1,2,NA,NA
78,7,1,1,1,3,43,2,3,4,1,3,2,2,1,1,2,1,2,NA,1,1,2,2,1,1,2,1,3,5,5,1,2,2,1,1,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
79,1,1,7,8,2,32,2,2,7,2,2,2,1,1,1,1,1,3,NA,2,1,2,3,3,2,2,2,2,7,7,1,8,1,1,2,1,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA
80,2,5,NA,6,2,23,2,1,4,1,1,2,2,1,4,3,NA,NA,2,2,1,2,2,2,1,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,3,2,3,NA,NA,NA
81,5,5,NA,0,0,59,1,4,5,2,1,2,2,2,6,3,NA,5,NA,2,1,2,2,2,2,3,3,6,6,7,1,2,2,1,1,4,NA,NA,1,7,1,1,2,3,NA,1,NA
82,1,4,NA,1,0,32,2,4,3,1,2,1,4,1,4,2,NA,1,NA,1,3,2,2,2,2,3,2,3,3,3,1,2,2,1,1,4,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA
83,1,1,1,2,2,44,1,4,2,1,1,NA,4,1,5,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,2,2,1,1,4,3,2,1,2,NA,NA,NA,NA,NA,NA,1
84,1,3,NA,0,1,49,2,4,3,1,2,2,4,2,6,2,NA,NA,1,1,2,1,2,2,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,2,1,6,NA,NA
85,1,5,NA,5,0,64,2,3,2,1,2,1,4,NA,6,2,NA,3,NA,1,2,3,2,3,3,2,2,6,5,2,1,3,1,1,2,4,NA,NA,4,2,5,3,1,1,NA,1,NA
86,1,1,1,2,0,30,2,3,4,2,1,2,2,2,6,1,1,NA,1,1,2,2,2,3,2,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,1,3,NA,NA
87,7,1,1,10,3,51,2,1,2,1,2,2,2,1,2,3,3,NA,2,3,1,2,2,3,2,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,2,NA,NA,NA
88,1,5,NA,5,0,28,2,3,2,NA,NA,NA,4,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,NA,3,2,1,NA,3,1,2,2,4,NA,NA,NA,NA,NA,NA,2
89,5,2,NA,4,2,84,1,2,4,1,2,2,1,1,1,1,NA,NA,3,1,2,1,1,2,2,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,1,NA,NA,NA
90,1,1,7,2,2,32,1,1,6,2,2,2,1,1,1,1,1,2,NA,3,2,2,2,2,2,2,2,6,7,7,3,2,4,1,1,1,NA,NA,3,5,5,2,2,2,NA,1,NA
91,8,1,5,1,3,54,2,1,2,2,2,NA,1,1,2,2,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,NA,2,4,1,1,1,1,2,3,1,NA,NA,NA,NA,NA,NA,1
92,1,5,NA,5,0,34,2,4,4,2,1,NA,4,1,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,NA,3,2,1,3,4,1,2,2,4,NA,NA,NA,NA,NA,NA,2
93,2,1,4,0,1,33,2,2,1,2,1,1,4,NA,6,1,1,1,NA,3,3,1,3,3,2,3,2,5,3,3,1,2,2,1,NA,4,NA,NA,5,0,NA,NA,NA,NA,NA,2,NA
94,4,4,NA,3,2,48,2,2,2,1,2,NA,1,NA,4,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,4,6,5,NA,1,1,1,1,4,1,2,1,1,NA,NA,NA,NA,NA,NA,1
95,7,3,NA,5,3,52,2,2,2,1,2,2,2,1,2,2,NA,5,NA,2,1,2,3,2,2,3,2,7,7,7,1,2,2,2,1,1,NA,NA,4,10,5,5,1,1,NA,1,NA
96,2,1,2,4,2,NA,2,2,2,2,NA,2,2,1,4,3,1,NA,1,2,1,2,2,2,2,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,1,1,1,NA,NA,NA
97,1,1,1,2,2,54,1,2,4,1,3,NA,3,1,1,1,1,NA,2,2,3,2,2,2,2,3,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,1,5,NA,NA
98,6,5,NA,2,0,19,2,3,4,2,3,NA,1,NA,2,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,NA,8,3,1,2,4,2,2,4,2,NA,NA,NA,NA,NA,NA,2
99,1,3,NA,3,0,41,1,3,4,2,2,NA,4,1,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,NA,2,1,1,1,4,3,2,5,1,NA,NA,NA,NA,NA,NA,1
100,2,5,NA,0,0,23,2,3,2,2,3,NA,1,1,5,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,NA,3,2,1,NA,4,1,2,5,2,NA,NA,NA,NA,NA,NA,1
101,5,3,NA,3,2,51,1,3,6,1,2,2,1,1,1,3,NA,2,NA,2,1,2,3,2,2,3,2,2,5,7,1,2,1,2,1,1,NA,NA,3,2,5,2,1,1,NA,2,NA
102,5,5,NA,2,0,75,2,2,2,NA,NA,NA,2,NA,5,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,NA,3,1,1,1,3,NA,2,1,4,NA,NA,NA,NA,NA,NA,2
103,7,3,NA,1,1,NA,2,2,6,1,2,2,3,1,2,2,NA,NA,1,1,1,2,3,3,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,2,1,1,3,NA,NA
104,1,1,7,6,1,27,1,2,3,1,1,2,2,1,2,2,2,NA,1,2,1,2,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,5,5,2,1,NA,NA,NA
105,4,5,NA,0,0,24,1,4,NA,NA,3,NA,4,1,3,2,NA,1,NA,1,1,2,2,3,1,3,2,1,1,6,1,3,4,1,NA,3,NA,NA,3,5,NA,NA,NA,NA,NA,2,NA
106,1,5,NA,0,0,26,1,2,5,1,3,NA,3,1,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,2,1,3,4,2,2,2,2,NA,NA,NA,NA,NA,NA,1
107,2,1,1,2,3,47,2,4,2,2,NA,NA,2,2,6,2,1,NA,1,1,2,1,2,NA,2,2,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,2,1,3,NA,NA
108,4,3,NA,6,0,55,2,3,6,1,3,NA,1,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,3,7,NA,3,4,1,2,1,1,2,4,2,NA,NA,NA,NA,NA,NA,1
109,4,3,NA,2,2,55,2,3,4,2,1,1,2,1,1,3,NA,5,NA,2,2,2,3,2,1,3,2,3,5,7,1,2,1,1,3,4,NA,NA,2,4,5,1,1,1,3,1,NA
110,1,5,NA,4,0,43,1,5,2,1,2,1,1,1,2,2,NA,1,NA,1,2,2,2,2,2,3,2,5,3,2,1,4,1,1,2,3,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA
111,1,1,1,4,2,46,2,3,2,1,2,1,1,1,2,2,2,NA,1,2,1,2,2,2,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,5,6,1,2,NA,NA,NA
112,1,1,1,1,1,71,1,3,2,1,NA,1,1,1,6,2,1,NA,1,1,2,1,2,2,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,5,1,2,1,2,NA,NA
113,1,1,1,1,0,32,2,3,4,2,3,NA,2,1,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,NA,2,1,1,2,4,1,2,4,2,NA,NA,NA,NA,NA,NA,2
114,2,1,5,1,0,63,1,3,4,1,2,NA,2,1,2,2,1,NA,1,1,2,1,2,NA,2,3,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,1,2,1,1,3,NA,NA
115,1,5,NA,5,2,50,2,3,4,1,3,NA,2,NA,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,4,2,1,2,4,2,1,1,4,NA,NA,NA,NA,NA,NA,1
116,1,3,NA,1,3,60,1,2,5,1,2,2,2,1,4,1,NA,2,NA,1,2,1,2,2,3,3,2,5,2,4,2,2,4,1,3,4,NA,NA,4,3,5,3,1,1,NA,1,NA
117,7,1,1,0,4,33,2,3,4,NA,2,NA,2,1,3,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,7,NA,2,1,1,1,4,1,2,4,3,NA,NA,NA,NA,NA,NA,1
118,1,1,1,1,2,40,2,4,6,1,2,2,4,1,5,2,1,3,NA,2,2,1,1,3,2,2,2,5,5,4,1,2,2,1,1,4,NA,NA,4,1,NA,NA,NA,NA,NA,1,NA
119,5,1,5,3,3,68,1,NA,5,1,2,2,3,NA,2,2,2,NA,2,1,1,1,2,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,1,1,NA,NA,NA
120,5,2,NA,5,3,69,2,2,4,1,2,NA,3,1,2,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,7,NA,2,NA,1,NA,3,1,2,1,3,NA,NA,NA,NA,NA,NA,2
121,5,1,5,0,3,71,1,2,4,1,3,1,1,1,1,2,1,1,NA,1,2,1,2,1,2,3,1,5,5,6,3,2,4,1,3,4,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA
122,1,5,NA,5,0,23,1,4,4,2,2,1,1,1,1,1,NA,NA,1,2,1,3,2,1,2,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,3,3,2,1,NA,NA,NA
123,1,5,NA,1,0,28,1,5,4,1,2,1,4,2,6,2,NA,1,NA,1,2,1,2,3,2,2,1,3,2,2,2,2,1,1,1,4,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA
124,1,3,NA,5,0,49,1,2,5,1,NA,1,2,1,1,2,NA,1,NA,1,2,1,2,2,2,2,2,5,4,7,1,2,1,1,3,4,NA,NA,5,4,3,3,1,1,NA,1,NA
